"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30205","test","webkit","Thu Sep 19 12:37:05 COT 2024","broken","Thu Sep 19 12:37:35 COT 2024","","regressionTest/crear_cuenta/00-registar_datos_personales.spec.ts","",""
"","30196","Validar redirección a la sección ""Cursos""","webkit","Thu Sep 19 12:37:56 COT 2024","broken","Thu Sep 19 12:38:26 COT 2024","Navegación en Staging Finkargo Col // User Interno","regressionTest/operaciones/07-comite.spec.ts","",""
"","1815","Navegar por Staging Col","webkit","Thu Sep 19 12:37:09 COT 2024","passed","Thu Sep 19 12:37:10 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","4763","Registrando formulario facturas","firefox","Thu Sep 19 12:36:28 COT 2024","passed","Thu Sep 19 12:36:33 COT 2024","","regressionTest/operaciones/02-facturas.spec.js","",""
"","2968","Navegar por Staging Col","firefox","Thu Sep 19 12:35:45 COT 2024","passed","Thu Sep 19 12:35:48 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","3918","Element.visible","chromium","Thu Sep 19 12:35:02 COT 2024","passed","Thu Sep 19 12:35:06 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","2847","Handle iFrames in combination with LazySelector","webkit","Thu Sep 19 12:37:44 COT 2024","passed","Thu Sep 19 12:37:47 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","1965","Wait + Recursive Locators","chromium","Thu Sep 19 12:35:00 COT 2024","passed","Thu Sep 19 12:35:02 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","2070","PressSequentially","chromium","Thu Sep 19 12:35:00 COT 2024","passed","Thu Sep 19 12:35:02 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","2255","PressSequentially","webkit","Thu Sep 19 12:37:41 COT 2024","passed","Thu Sep 19 12:37:44 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","30175","test","chromium","Thu Sep 19 12:35:05 COT 2024","broken","Thu Sep 19 12:35:35 COT 2024","","regressionTest/operaciones/00-crearCotizacion-cliente01.spec.js","",""
"","30145","Fill+Type","chromium","Thu Sep 19 12:34:30 COT 2024","broken","Thu Sep 19 12:35:00 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","30135","Validar redirección a la sección ""Udemy""","firefox","Thu Sep 19 12:36:38 COT 2024","broken","Thu Sep 19 12:37:08 COT 2024","Navegación en Staging Finkargo Col // User Interno","regressionTest/operaciones/07-comite.spec.ts","",""
"","4379","Buscando Solicitud de Operación","chromium","Thu Sep 19 12:35:07 COT 2024","passed","Thu Sep 19 12:35:11 COT 2024","","regressionTest/operaciones/01-solicitar_operacion.spec.js","",""
"","3208","Handle iFrames","firefox","Thu Sep 19 12:36:19 COT 2024","passed","Thu Sep 19 12:36:22 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
